,Device,,,,,,,,,,,,,,,
,Jeson Orin Nano,,,,,,,,Jeson Orin AGX,,,,,,,
,Cuda (ms),,,,CPU (us),,,,Cuda (ms),,,,CPU (ms),,,
Trial,3300x2200,4096x3000,8192x6000,16384x12000,3300x2200,4096x3000,8192x6000,16384x12000,3300x2200,4096x3000,8192x6000,16384x12000,3300x2200,4096x3000,8192x6000,16384x12000
1,24.988,40.053,156.25,634.777,12.483,20.587,74.439,287.939,35.25,58.574,181.751,607.607,9.391,14.382,46.216,178.489
2,24.645,39.463,155.154,692.727,13.4,24.089,73.616,287.82,35.044,55.793,177.962,601.058,9.223,14.683,46.174,178.111
3,23.621,36.801,146.991,651.617,12.907,21.224,70.811,280.615,35.805,77.351,167.43,607.257,8.954,14.61,46.501,178.085
4,24.718,39.671,154.472,614.681,14.578,23.938,73.198,281.745,34.438,57.565,189.288,607.231,9.547,15.343,46.465,177.628
5,24.711,39.554,154.5,614.396,14.122,24.097,73.688,286.192,35.071,77.221,293.269,1164.869,10.731,17.252,46.978,177.826
AVG,24.5366,39.1084,153.4734,641.6396,13.498,22.787,73.1504,284.8622,35.1216,65.3008,201.94,717.6044,9.5692,15.254,46.4668,178.0278
